Location,Time,Date,Location_code,Patch_ID,Activity-density
none,none,dd-mmm-yyyy,none,none,count
nominal,series,datetime,code,nominal,data
N/A,5,May,N/A,N/A,1.75438596491227
N/A,8,Aug,N/A,N/A,20.1754385964912
N/A,9,Sept,N/A,N/A,17.7631578947369
