,mean,sd,hdi_3%,hdi_97%,mpv
std_deviation[0],252.73444238695103,37.318923226842166,189.3182169103197,322.3126831315016,236.60263674285056
std_deviation[1],5.353862413013896,0.721097863812929,4.04020360677138,6.726241012864096,5.030440831070438
r1,0.300861472762271,0.018035365209049,0.270877645804684,0.335879293895744,0.2937148663365158
m,0.008936961098068,0.00040102850259,0.008194240278861,0.009673495335865,0.008841526117996623
a1,0.048053178534283,0.003237955482108,0.042820898106394,0.053678419027499,0.04668072403887571
