,a1,a3
0,881994.588977147,110654.72556951264
1,881994.588977147,110654.72556951264
2,881994.588977147,110654.72556951264
3,881994.588977147,110654.72556951264
4,920295.2367550662,114135.6831311558
5,920295.2367550662,114135.6831311558
6,920295.2367550662,114135.6831311558
7,920295.2367550662,114135.6831311558
8,887777.695140632,105256.23579140691
9,887777.695140632,105256.23579140691
10,887777.695140632,105256.23579140691
11,887777.695140632,105256.23579140691
12,885993.1691428843,113987.69074306908
13,963176.7354801224,122452.70820794931
14,963176.7354801224,122452.70820794931
15,961827.0943301832,114758.50084296027
16,961827.0943301832,114758.50084296027
17,961827.0943301832,114758.50084296027
18,961827.0943301832,114758.50084296027
19,952769.8602532027,115294.8723723327
20,952769.8602532027,115294.8723723327
21,952769.8602532027,115294.8723723327
22,869618.3635702685,98579.73543327453
23,869618.3635702685,98579.73543327453
24,875522.1108727227,120203.0742699393
25,707690.395593009,88116.53618735455
26,707690.395593009,88116.53618735455
27,707690.395593009,88116.53618735455
28,707690.395593009,88116.53618735455
29,816829.3459142669,90037.50888693563
30,816829.3459142669,90037.50888693563
31,816829.3459142669,90037.50888693563
32,807718.0413138862,86485.16723710413
33,807718.0413138862,86485.16723710413
34,745953.8122878355,82436.86081054466
35,364560.9120022353,51517.68036590296
36,364560.9120022353,51517.68036590296
37,364560.9120022353,51517.68036590296
38,364560.9120022353,51517.68036590296
39,364560.9120022353,51517.68036590296
40,394579.18960668816,49366.21341277075
41,394579.18960668816,49366.21341277075
42,394579.18960668816,49366.21341277075
43,394579.18960668816,49366.21341277075
44,394579.18960668816,49366.21341277075
45,348267.59002055036,45107.39703973052
46,441362.7979351987,50629.41560667019
47,441362.7979351987,50629.41560667019
48,441362.7979351987,50629.41560667019
49,441362.7979351987,50629.41560667019
50,438212.0226746336,48711.785971318845
51,438212.0226746336,48711.785971318845
52,438212.0226746336,48711.785971318845
53,438212.0226746336,48711.785971318845
54,412710.61231986136,50618.88372005481
55,412710.61231986136,50618.88372005481
56,412868.78441124957,50657.98087670792
57,412868.78441124957,50657.98087670792
58,412868.78441124957,50657.98087670792
59,412868.78441124957,50657.98087670792
60,412868.78441124957,50657.98087670792
61,412868.78441124957,50657.98087670792
62,412868.78441124957,50657.98087670792
63,321503.2263005283,39136.72854537403
64,321503.2263005283,39136.72854537403
65,231509.29636574644,30712.21974376063
66,263040.06026178383,32616.542987673434
67,263040.06026178383,32616.542987673434
68,263040.06026178383,32616.542987673434
69,234020.77845169805,30384.287627673886
70,234020.77845169805,30384.287627673886
71,249647.69284022218,30398.21134802969
72,249647.69284022218,30398.21134802969
73,367880.08900400007,42834.057982953425
74,450379.6158656935,49470.4102159863
75,450379.6158656935,49470.4102159863
76,450379.6158656935,49470.4102159863
77,450379.6158656935,49470.4102159863
78,450379.6158656935,49470.4102159863
79,450379.6158656935,49470.4102159863
80,450379.6158656935,49470.4102159863
81,450379.6158656935,49470.4102159863
82,294564.77202804113,36432.321522276405
83,429457.3414012858,52102.75311365849
84,429457.3414012858,52102.75311365849
85,512111.137118718,56587.54898356885
86,512111.137118718,56587.54898356885
87,512111.137118718,56587.54898356885
88,478599.5061320663,61573.25360632544
89,445583.00510147004,55069.35740837251
90,445583.00510147004,55069.35740837251
91,492241.55947929784,54729.47968337092
92,492241.55947929784,54729.47968337092
93,462660.0644600816,50910.93891043812
94,462660.0644600816,50910.93891043812
95,462660.0644600816,50910.93891043812
96,495227.3150656451,65471.38702820741
97,495227.3150656451,65471.38702820741
98,978170.7233234274,116099.05392736632
99,980038.4576359971,128561.02440835659
100,980038.4576359971,128561.02440835659
101,973188.0796302938,114580.17560796082
102,973188.0796302938,114580.17560796082
103,973188.0796302938,114580.17560796082
104,969718.6835599698,124650.55510122459
105,969718.6835599698,124650.55510122459
106,969718.6835599698,124650.55510122459
107,969718.6835599698,124650.55510122459
108,977083.6903122397,129950.32437023781
109,977083.6903122397,129950.32437023781
110,945903.5299327631,101142.6731253597
111,310588.29293594015,36862.900570894184
112,310588.29293594015,36862.900570894184
113,521844.8442127615,60249.54865595454
114,521844.8442127615,60249.54865595454
115,368077.82150870684,40066.29213646015
116,368077.82150870684,40066.29213646015
117,368077.82150870684,40066.29213646015
118,405026.25251065806,45103.87169204078
119,405026.25251065806,45103.87169204078
120,405026.25251065806,45103.87169204078
121,405026.25251065806,45103.87169204078
122,404905.93625828874,45097.45731754075
123,404905.93625828874,45097.45731754075
124,404905.93625828874,45097.45731754075
125,404905.93625828874,45097.45731754075
126,404905.93625828874,45097.45731754075
127,404905.93625828874,45097.45731754075
128,404905.93625828874,45097.45731754075
129,404905.93625828874,45097.45731754075
130,405118.18164513685,45076.642704920174
131,405118.18164513685,45076.642704920174
132,405118.18164513685,45076.642704920174
133,405118.18164513685,45076.642704920174
134,405118.18164513685,45076.642704920174
135,497717.13746151346,56500.877503778574
136,497717.13746151346,56500.877503778574
137,497717.13746151346,56500.877503778574
138,497717.13746151346,56500.877503778574
139,497717.13746151346,56500.877503778574
140,497717.13746151346,56500.877503778574
141,497717.13746151346,56500.877503778574
142,497717.13746151346,56500.877503778574
143,497717.13746151346,56500.877503778574
144,467649.400498514,57029.477274962475
145,467649.400498514,57029.477274962475
146,467649.400498514,57029.477274962475
147,467649.400498514,57029.477274962475
148,467649.400498514,57029.477274962475
149,467649.400498514,57029.477274962475
150,467649.400498514,57029.477274962475
151,639732.7502287499,83197.25320396484
152,607054.4019810086,78400.38276818779
153,607054.4019810086,78400.38276818779
154,607054.4019810086,78400.38276818779
155,640354.2399981187,80541.76046107592
156,640354.2399981187,80541.76046107592
157,656842.3821897849,81132.48759328727
158,518693.3922007561,60604.57884185776
159,518693.3922007561,60604.57884185776
160,518693.3922007561,60604.57884185776
161,835237.5635441887,90373.5011609729
162,487925.21195276245,55030.80506910924
163,487925.21195276245,55030.80506910924
164,487925.21195276245,55030.80506910924
165,487925.21195276245,55030.80506910924
166,343402.644692848,40543.52603767742
167,814129.486904376,91607.40015961752
168,814129.486904376,91607.40015961752
169,814129.486904376,91607.40015961752
170,814129.486904376,91607.40015961752
171,814129.486904376,91607.40015961752
172,814129.486904376,91607.40015961752
173,814129.486904376,91607.40015961752
174,938470.5965953644,111992.77570110725
175,785424.6420952019,78216.24665765038
