,a1,a3
0,672858.4885300342,85842.74123029273
1,672858.4885300342,85842.74123029273
2,672858.4885300342,85842.74123029273
3,559610.7343250472,66174.78828460134
4,614932.5785595204,77071.17271177938
5,608748.651417601,78544.21995102479
6,608748.651417601,78544.21995102479
7,608748.651417601,78544.21995102479
8,608748.651417601,78544.21995102479
9,608748.651417601,78544.21995102479
10,608748.651417601,78544.21995102479
11,702099.0662740881,85318.93567022808
12,702099.0662740881,85318.93567022808
13,507067.3109632937,60950.995096981744
14,467847.67307190277,74441.19843790376
15,466642.49155661167,74177.9716631783
16,457486.7677592746,63233.63908077599
17,587164.9461761629,80012.68288848992
18,307066.7987498016,40216.789617685594
19,459252.7954973752,57187.92330386493
20,459252.7954973752,57187.92330386493
21,459252.7954973752,57187.92330386493
22,459252.7954973752,57187.92330386493
23,459252.7954973752,57187.92330386493
24,459252.7954973752,57187.92330386493
25,459252.7954973752,57187.92330386493
26,459252.7954973752,57187.92330386493
27,490598.6520499701,64583.332865888646
28,490598.6520499701,64583.332865888646
29,463658.77748783916,61122.02792601722
30,463658.77748783916,61122.02792601722
31,463658.77748783916,61122.02792601722
32,463658.77748783916,61122.02792601722
33,463658.77748783916,61122.02792601722
34,455003.7162675569,54340.48327564775
35,539706.8044414078,65375.253311931774
36,539706.8044414078,65375.253311931774
37,539706.8044414078,65375.253311931774
38,539706.8044414078,65375.253311931774
39,539706.8044414078,65375.253311931774
40,539706.8044414078,65375.253311931774
41,539706.8044414078,65375.253311931774
42,539706.8044414078,65375.253311931774
43,539706.8044414078,65375.253311931774
44,539706.8044414078,65375.253311931774
45,539706.8044414078,65375.253311931774
46,539706.8044414078,65375.253311931774
47,539706.8044414078,65375.253311931774
48,539706.8044414078,65375.253311931774
49,539706.8044414078,65375.253311931774
50,709964.389517997,81727.89467366916
51,709964.389517997,81727.89467366916
52,709964.389517997,81727.89467366916
53,709964.389517997,81727.89467366916
54,709964.389517997,81727.89467366916
55,709964.389517997,81727.89467366916
56,710098.7389132826,81788.9498820718
57,710098.7389132826,81788.9498820718
58,710098.7389132826,81788.9498820718
59,820253.069228678,118196.00392980018
60,820253.069228678,118196.00392980018
61,679888.6597659512,81868.86169141355
62,679888.6597659512,81868.86169141355
63,679888.6597659512,81868.86169141355
64,679888.6597659512,81868.86169141355
65,767725.1764323452,103610.31264776704
66,284973.8798964063,36622.96367194515
67,284973.8798964063,36622.96367194515
