,a1
0,0.0058582707879143775
1,0.0058572816686912575
2,0.0058572816686912575
3,0.006449243197677883
4,0.006449243197677883
5,0.006449243197677883
6,0.006449243197677883
7,0.007387392917206802
8,0.007387392917206802
9,0.007387392917206802
10,0.006991010650559757
11,0.007720406185971102
12,0.007752522187551412
13,0.005505238683495519
14,0.005505238683495519
15,0.005505238683495519
16,0.00456347460106263
17,0.00456347460106263
18,0.00456347460106263
19,0.006989265867535812
20,0.00595696085572936
21,0.00595696085572936
22,0.00595696085572936
23,0.006018066232010006
24,0.007426565585406732
25,0.007426565585406732
26,0.007426565585406732
27,0.007426565585406732
28,0.007426565585406732
29,0.007426565585406732
30,0.007426565585406732
31,0.007426565585406732
32,0.006003473330123669
33,0.006003473330123669
34,0.005257099211601589
35,0.006212741547090583
36,0.006212741547090583
37,0.006212741547090583
38,0.006212741547090583
39,0.006212741547090583
40,0.006212741547090583
41,0.005599090115771302
42,0.005599090115771302
43,0.005599090115771302
44,0.005599090115771302
45,0.005598959576481321
46,0.005598959576481321
47,0.005598959576481321
48,0.005598959576481321
49,0.005598959576481321
50,0.005598959576481321
51,0.005598959576481321
52,0.005598959576481321
53,0.005598959576481321
54,0.005598959576481321
55,0.004778251949246485
56,0.004778251949246485
57,0.004778251949246485
58,0.004778251949246485
59,0.004930250445763576
60,0.0067953730703145
61,0.0067953730703145
62,0.0067953730703145
63,0.0067953730703145
64,0.0067953730703145
65,0.0067953730703145
66,0.0067953730703145
67,0.0067953730703145
68,0.0067953730703145
69,0.0067953730703145
70,0.0067953730703145
71,0.0067953730703145
72,0.0067953730703145
73,0.0075308557022757475
74,0.0075308557022757475
75,0.0075308557022757475
76,0.007733608798502829
77,0.007733608798502829
78,0.006846572431164312
79,0.006739220122139397
80,0.006739220122139397
81,0.006686404407521682
82,0.006686404407521682
83,0.006686404407521682
84,0.006686404407521682
85,0.006686404407521682
86,0.006686404407521682
87,0.006686404407521682
88,0.006686404407521682
89,0.006686404407521682
90,0.006686404407521682
91,0.006537495216748128
92,0.006537495216748128
93,0.006537495216748128
94,0.006537495216748128
95,0.006537495216748128
96,0.006537495216748128
97,0.006537495216748128
98,0.006537495216748128
99,0.004175829908122263
100,0.005329487647712473
101,0.004830154407642726
102,0.004830154407642726
103,0.005478198262431411
104,0.005478198262431411
105,0.005478198262431411
106,0.005478198262431411
107,0.005478198262431411
108,0.005478198262431411
109,0.005355996357677543
110,0.004936984235862006
111,0.004936984235862006
112,0.005338189808879193
113,0.005569427065144902
114,0.005569427065144902
115,0.005569427065144902
116,0.005569427065144902
117,0.005569427065144902
118,0.005569427065144902
119,0.005569427065144902
120,0.005569427065144902
121,0.0064769735762012556
122,0.0064769735762012556
123,0.0064769735762012556
124,0.0064769735762012556
125,0.0064769735762012556
126,0.0064769735762012556
127,0.0064769735762012556
128,0.0056638645973857114
129,0.005438815496552715
130,0.006939498130917065
131,0.005812047985621332
132,0.005812047985621332
133,0.005812047985621332
134,0.005812047985621332
135,0.005812047985621332
136,0.005812047985621332
137,0.006863738983233337
138,0.006863738983233337
139,0.006863738983233337
140,0.006863738983233337
141,0.006863738983233337
142,0.006863738983233337
143,0.006863738983233337
144,0.006863738983233337
145,0.006863738983233337
146,0.006863738983233337
147,0.006863738983233337
148,0.006863738983233337
149,0.006863738983233337
150,0.006863738983233337
151,0.0063227116848797605
152,0.004448985631771018
153,0.00433082283473505
154,0.006057496229667867
155,0.0051489869507167175
156,0.0049011784641763145
157,0.0049011784641763145
158,0.0049011784641763145
159,0.0049011784641763145
160,0.0049011784641763145
161,0.0049011784641763145
162,0.0049011784641763145
163,0.0049011784641763145
164,0.005010099235680611
165,0.005010099235680611
166,0.005010099235680611
167,0.005010099235680611
168,0.005010099235680611
169,0.005010099235680611
170,0.006448318503881938
171,0.006448318503881938
172,0.006386436440820843
173,0.006386436440820843
174,0.006386436440820843
175,0.006386436440820843
176,0.006386436440820843
177,0.006386436440820843
178,0.006386436440820843
179,0.006386436440820843
180,0.006386436440820843
181,0.006386436440820843
182,0.006386436440820843
183,0.006386436440820843
184,0.005494229917370031
185,0.005494229917370031
186,0.005494229917370031
187,0.005494229917370031
188,0.005494229917370031
189,0.005494229917370031
190,0.005494229917370031
191,0.006259131372953491
192,0.006259131372953491
193,0.006259131372953491
194,0.006259131372953491
195,0.006259131372953491
196,0.006436052654121382
197,0.006436052654121382
198,0.006436052654121382
199,0.006436052654121382
200,0.006436052654121382
201,0.005772839921023045
202,0.005772839921023045
203,0.005772839921023045
204,0.005772839921023045
205,0.005772839921023045
206,0.005772839921023045
207,0.005772839921023045
208,0.005772839921023045
209,0.005772839921023045
210,0.005772839921023045
211,0.005772839921023045
212,0.005772839921023045
213,0.005772839921023045
214,0.005772839921023045
215,0.005772839921023045
216,0.005772839921023045
217,0.005772839921023045
218,0.005772839921023045
219,0.006109363723245135
220,0.007003994077883277
221,0.007003994077883277
222,0.005712702383569935
223,0.005712702383569935
224,0.005712702383569935
225,0.005712702383569935
226,0.005712702383569935
227,0.005712702383569935
228,0.005712702383569935
229,0.005712702383569935
230,0.005712702383569935
231,0.005712702383569935
232,0.005712702383569935
233,0.005712702383569935
234,0.005478303189407297
235,0.005478303189407297
236,0.005478303189407297
237,0.005478303189407297
238,0.005478303189407297
239,0.005478303189407297
240,0.005478303189407297
241,0.005830140243968143
242,0.005830140243968143
243,0.005830140243968143
244,0.005830140243968143
245,0.005830140243968143
246,0.005830140243968143
247,0.005830140243968143
248,0.005970514861795615
249,0.005970514861795615
250,0.005970514861795615
251,0.005970514861795615
252,0.005970514861795615
253,0.005970514861795615
254,0.005970514861795615
255,0.005970514861795615
256,0.005970514861795615
257,0.005970514861795615
258,0.005970514861795615
259,0.005970514861795615
260,0.006772404500983363
261,0.006279121282677507
262,0.006279121282677507
263,0.006279121282677507
264,0.006279121282677507
265,0.006279121282677507
266,0.006279121282677507
267,0.005657886630142376
268,0.005657886630142376
269,0.005657886630142376
270,0.0056044043292250625
271,0.0056044043292250625
272,0.0056044043292250625
273,0.0056044043292250625
274,0.005000337102154159
275,0.004996666730184913
276,0.004996666730184913
277,0.005430303020223146
278,0.005430303020223146
279,0.005430303020223146
280,0.005430303020223146
281,0.005430303020223146
282,0.005648447385006482
283,0.005648447385006482
284,0.005648447385006482
285,0.004813908305253945
286,0.004813908305253945
287,0.004813908305253945
288,0.0069154225576778805
289,0.0069154225576778805
290,0.0069154225576778805
291,0.0069154225576778805
292,0.0069154225576778805
293,0.0069154225576778805
294,0.0069154225576778805
295,0.00536077883041403
296,0.00536077883041403
297,0.00536077883041403
298,0.007657623435558604
299,0.007657623435558604
300,0.0055128965495172474
301,0.0055128965495172474
302,0.0055128965495172474
303,0.007653109820236627
304,0.006771951105652409
305,0.006771951105652409
306,0.006771951105652409
307,0.006771951105652409
308,0.006193855419437499
309,0.006193855419437499
310,0.006193855419437499
311,0.006193855419437499
312,0.006303568668956833
313,0.006303568668956833
314,0.006303568668956833
315,0.006303568668956833
316,0.006303568668956833
317,0.005223984493632591
318,0.005223984493632591
319,0.005223984493632591
320,0.005223984493632591
321,0.005193450661947853
322,0.005193450661947853
