,r1,r3,a1
0,0.0051081499640938345,0.0032861877188742343,0.0018147517537747241
1,0.0051081499640938345,0.0032861877188742343,0.0018147517537747241
2,0.005100893571869241,0.0020165872482530755,0.002218187216035065
3,0.005100893571869241,0.0020165872482530755,0.002218187216035065
4,0.0051025507556737805,0.0025233660582781583,0.0023158030814529325
5,0.005065753450678465,0.0015988886641359443,0.002928590068295723
6,0.005031427778982871,0.0018337598255991326,0.0033975972717040343
7,0.005031427778982871,0.0018337598255991326,0.0033975972717040343
8,0.005008664080657039,0.001652734136754173,0.002600254334315155
9,0.004729273182140168,0.0016560312747713908,0.004632591235574064
10,0.004729273182140168,0.0016560312747713908,0.004632591235574064
11,0.004729273182140168,0.0016560312747713908,0.004632591235574064
12,0.004729273182140168,0.0016560312747713908,0.004632591235574064
13,0.004729273182140168,0.0016560312747713908,0.004632591235574064
14,0.005020175726621686,0.003464728998352415,0.0025417842784082644
15,0.004994197286383176,0.004471710682823013,0.003264526764475786
16,0.004741474668735823,0.0019069550540230375,0.005420525011242269
17,0.004741474668735823,0.0019069550540230375,0.005420525011242269
18,0.0046962922372687415,0.0028949366580248255,0.003293309484270603
19,0.005064761554475937,0.0021101826265649093,0.002959916506159458
20,0.005057563719116098,0.0030283427649254475,0.001592051148065518
21,0.005078481727922238,0.0042401453949886475,0.0010327097135032475
22,0.005078481727922238,0.0042401453949886475,0.0010327097135032475
23,0.005078481727922238,0.0042401453949886475,0.0010327097135032475
24,0.00508622462951636,0.0019819092082571845,0.0026024306382416906
25,0.005037547233217861,0.0028150457051005556,0.0027785051205621684
26,0.005037547233217861,0.0028150457051005556,0.0027785051205621684
27,0.005037547233217861,0.0028150457051005556,0.0027785051205621684
28,0.005037547233217861,0.0028150457051005556,0.0027785051205621684
29,0.00501317817658738,0.002510423978956949,0.003489080570275576
30,0.0046825034072624115,0.0021721606245453766,0.003298270766102031
31,0.00460766369146174,0.0020193040578898756,0.0031787335744087636
32,0.004991925178100422,0.0029262934727949533,0.002105506906881865
33,0.004991925178100422,0.0029262934727949533,0.002105506906881865
34,0.004991925178100422,0.0029262934727949533,0.002105506906881865
35,0.004991925178100422,0.0029262934727949533,0.002105506906881865
36,0.004991925178100422,0.0029262934727949533,0.002105506906881865
37,0.004991925178100422,0.0029262934727949533,0.002105506906881865
