,a1,a3
0,420400.5902527699,45962.631069064366
1,420400.5902527699,45962.631069064366
2,420400.5902527699,45962.631069064366
3,420400.5902527699,45962.631069064366
4,420400.5902527699,45962.631069064366
5,420400.5902527699,45962.631069064366
6,420400.5902527699,45962.631069064366
7,688616.0718676439,78878.32877430232
8,309055.90397429996,37116.77989139684
9,309055.90397429996,37116.77989139684
10,292235.3914763129,36421.81130808856
11,271909.6182523735,31216.141839438227
12,271909.6182523735,31216.141839438227
13,271909.6182523735,31216.141839438227
14,271909.6182523735,31216.141839438227
15,271909.6182523735,31216.141839438227
16,271909.6182523735,31216.141839438227
17,362186.6160525412,39947.529640713066
18,362186.6160525412,39947.529640713066
19,362186.6160525412,39947.529640713066
20,362186.6160525412,39947.529640713066
21,362186.6160525412,39947.529640713066
22,362186.6160525412,39947.529640713066
23,600180.0033029179,63144.79247509768
24,772439.9857807055,97355.5601490275
25,772439.9857807055,97355.5601490275
26,772439.9857807055,97355.5601490275
27,620204.3228275069,69560.80408993368
28,620204.3228275069,69560.80408993368
29,620204.3228275069,69560.80408993368
30,566282.945354062,67458.10613735743
31,566282.945354062,67458.10613735743
32,572352.0213894027,69006.89806885815
33,572352.0213894027,69006.89806885815
34,434272.7109325716,59762.810874272815
35,434272.7109325716,59762.810874272815
36,434272.7109325716,59762.810874272815
37,731918.3559526887,96624.0171556846
38,731918.3559526887,96624.0171556846
39,731918.3559526887,96624.0171556846
40,731918.3559526887,96624.0171556846
41,731918.3559526887,96624.0171556846
42,731918.3559526887,96624.0171556846
43,731918.3559526887,96624.0171556846
44,731918.3559526887,96624.0171556846
45,731918.3559526887,96624.0171556846
46,731918.3559526887,96624.0171556846
47,610357.6315366699,70198.59008316182
48,791121.2306525621,102480.60821668552
49,791121.2306525621,102480.60821668552
50,791121.2306525621,102480.60821668552
51,791121.2306525621,102480.60821668552
52,791121.2306525621,102480.60821668552
53,791121.2306525621,102480.60821668552
54,791121.2306525621,102480.60821668552
55,791121.2306525621,102480.60821668552
56,791121.2306525621,102480.60821668552
57,791121.2306525621,102480.60821668552
58,742267.5800377727,88477.46124496254
59,755361.6908125837,90384.35899617386
60,755361.6908125837,90384.35899617386
61,755361.6908125837,90384.35899617386
62,755361.6908125837,90384.35899617386
63,755361.6908125837,90384.35899617386
64,755361.6908125837,90384.35899617386
65,755361.6908125837,90384.35899617386
66,755361.6908125837,90384.35899617386
67,755361.6908125837,90384.35899617386
68,755361.6908125837,90384.35899617386
69,445096.3203028912,50081.47576578873
70,445096.3203028912,50081.47576578873
71,236457.93263743515,26262.06832967913
72,236457.93263743515,26262.06832967913
73,236457.93263743515,26262.06832967913
74,238450.3066216026,26046.002076366625
75,238450.3066216026,26046.002076366625
76,238450.3066216026,26046.002076366625
77,238450.3066216026,26046.002076366625
78,238450.3066216026,26046.002076366625
79,220736.3725093715,25667.155888322177
80,220736.3725093715,25667.155888322177
81,220736.3725093715,25667.155888322177
82,220736.3725093715,25667.155888322177
83,255838.4994763751,31443.673576515404
84,255838.4994763751,31443.673576515404
85,255838.4994763751,31443.673576515404
86,478423.58577481186,53556.748090097855
87,478423.58577481186,53556.748090097855
88,473741.82335978287,50572.981225664815
89,473741.82335978287,50572.981225664815
90,545248.1869584792,63732.23924625624
91,545248.1869584792,63732.23924625624
92,545248.1869584792,63732.23924625624
93,545248.1869584792,63732.23924625624
94,720871.1944868369,91446.02228961271
95,789237.9616163403,88930.66002938541
96,789237.9616163403,88930.66002938541
97,789237.9616163403,88930.66002938541
98,686620.2968296224,85852.6547145258
99,686620.2968296224,85852.6547145258
100,695349.4664215549,86354.05017097044
101,695349.4664215549,86354.05017097044
