,r2,r3
0,9.707344771472388e-05,3.942075703905058e-08
1,9.715464265318085e-05,3.9438045437681045e-08
2,9.715464265318085e-05,3.9438045437681045e-08
3,9.715464265318085e-05,3.9438045437681045e-08
4,9.714079801306026e-05,3.9442173895748044e-08
5,9.714079801306026e-05,3.9442173895748044e-08
6,9.708653640302492e-05,3.942429515513474e-08
7,9.711846356461631e-05,3.9424895201475065e-08
8,9.706058562931484e-05,3.944962620189841e-08
9,9.706303438489512e-05,3.945422809605379e-08
10,9.706303438489512e-05,3.945422809605379e-08
11,9.706303438489512e-05,3.945422809605379e-08
12,9.706303438489512e-05,3.945422809605379e-08
13,9.706303438489512e-05,3.945422809605379e-08
14,9.710084121239767e-05,3.9474423820135064e-08
15,9.710776895224379e-05,3.94583893971425e-08
16,9.710776895224379e-05,3.94583893971425e-08
17,9.71879099052155e-05,3.943124692804551e-08
18,9.712693750267085e-05,3.939296485259982e-08
19,9.712693750267085e-05,3.939296485259982e-08
20,9.708808092225715e-05,3.94380121697309e-08
21,9.708808092225715e-05,3.94380121697309e-08
22,9.70653856387456e-05,3.945528311991533e-08
23,9.713408695340972e-05,3.940480914661324e-08
24,9.713408695340972e-05,3.940480914661324e-08
25,9.713408695340972e-05,3.940480914661324e-08
26,9.710632910898905e-05,3.9432841970768346e-08
27,9.710632910898905e-05,3.9432841970768346e-08
28,9.710632910898905e-05,3.9432841970768346e-08
29,9.710632910898905e-05,3.9432841970768346e-08
30,9.714329965251541e-05,3.9474205808917685e-08
31,9.712865196022667e-05,3.944092401213522e-08
32,9.712865196022667e-05,3.944092401213522e-08
33,9.718693189023047e-05,3.947400229053814e-08
34,9.718693189023047e-05,3.947400229053814e-08
35,9.718920451710965e-05,3.9443791213383443e-08
36,9.72294457823059e-05,3.944607597967685e-08
37,9.718441783592661e-05,3.944236197930363e-08
38,9.718441783592661e-05,3.944236197930363e-08
39,9.723086412261603e-05,3.946344624033934e-08
40,9.710563812489406e-05,3.947942481471794e-08
41,9.721766055255132e-05,3.9540698356887664e-08
42,9.721902965911855e-05,3.9521027710274415e-08
43,9.720618199597386e-05,3.945257280977536e-08
44,9.717104211654214e-05,3.941804937573944e-08
45,9.718846055551265e-05,3.947597326605499e-08
46,9.718846055551265e-05,3.947597326605499e-08
47,9.718846055551265e-05,3.947597326605499e-08
48,9.718846055551265e-05,3.947597326605499e-08
