,m,a1,a2
0,0.12514648534565131,0.00027210317416829626,2.5109316836437935e-06
1,0.12514648534565131,0.00027210317416829626,2.5109316836437935e-06
2,0.12351749305138025,0.0002689209602552155,2.519257758603097e-06
3,0.12291909174096344,0.00027120651692451704,2.5408708287352773e-06
4,0.12287745205762249,0.0002671410164629222,2.5132346095785654e-06
5,0.12287745205762249,0.0002671410164629222,2.5132346095785654e-06
6,0.12287745205762249,0.0002671410164629222,2.5132346095785654e-06
7,0.12120854857369026,0.0002652060908534535,2.5266421202497405e-06
8,0.12267857237828549,0.00026400968635596474,2.5030053969397637e-06
9,0.12303518157370615,0.0002536819973414562,2.4207262229518054e-06
10,0.12303518157370615,0.0002536819973414562,2.4207262229518054e-06
11,0.12303518157370615,0.0002536819973414562,2.4207262229518054e-06
12,0.11921279111287536,0.0002558604017000579,2.4736553502379398e-06
13,0.11947811421278068,0.0002527624868182545,2.4499408539692334e-06
14,0.12055842830532176,0.00023628497682242984,2.3419247776735207e-06
15,0.12055842830532176,0.00023628497682242984,2.3419247776735207e-06
16,0.12055842830532176,0.00023628497682242984,2.3419247776735207e-06
17,0.11977415577133729,0.00024123573056560084,2.372839152204575e-06
18,0.11977415577133729,0.00024123573056560084,2.372839152204575e-06
19,0.11977415577133729,0.00024123573056560084,2.372839152204575e-06
20,0.11971348785109781,0.00023589222551138422,2.342569518019223e-06
21,0.11738031426466777,0.0002298686486718164,2.3288258836450313e-06
22,0.11738031426466777,0.0002298686486718164,2.3288258836450313e-06
23,0.11599690718044971,0.00022352939902816222,2.3103129132693165e-06
24,0.11549562211120329,0.00021574837361651664,2.274161087638175e-06
25,0.11527652657220303,0.0002153889463517719,2.2739808652652654e-06
26,0.11527652657220303,0.0002153889463517719,2.2739808652652654e-06
27,0.11516628554537502,0.00021482413929294376,2.274336724886238e-06
28,0.1152593060612983,0.0002170030970328427,2.284825644994036e-06
29,0.11487646791322173,0.00021712405853566068,2.284417095608267e-06
30,0.11487646791322173,0.00021712405853566068,2.284417095608267e-06
31,0.1163273860663598,0.00022035686220631232,2.2956986377917784e-06
32,0.11894951755467212,0.00022872524696428874,2.3252992187288248e-06
33,0.11742393035528562,0.0002311198594737675,2.342698108226702e-06
34,0.11742393035528562,0.0002311198594737675,2.342698108226702e-06
35,0.11717222924965537,0.00022917124262584145,2.3297314055135635e-06
36,0.11951406556528076,0.0002331740312009666,2.340220129408315e-06
37,0.11951406556528076,0.0002331740312009666,2.340220129408315e-06
38,0.1189658943694382,0.0002240297074719636,2.2989260544605072e-06
39,0.1189658943694382,0.0002240297074719636,2.2989260544605072e-06
40,0.12035979964561773,0.00022751801552935706,2.310034941669117e-06
41,0.12292819554228875,0.0002484830675045861,2.392549632574574e-06
42,0.12344767420392545,0.00024777559112512887,2.3846663864261703e-06
43,0.12097746286764456,0.0002584869836422233,2.4885595068250495e-06
44,0.12129065957448296,0.0002563114884628844,2.4711627764883118e-06
45,0.11773809635898427,0.0002500686779536553,2.4522729162949337e-06
46,0.11773809635898427,0.0002500686779536553,2.4522729162949337e-06
47,0.11773809635898427,0.0002500686779536553,2.4522729162949337e-06
48,0.11773809635898427,0.0002500686779536553,2.4522729162949337e-06
49,0.11773809635898427,0.0002500686779536553,2.4522729162949337e-06
50,0.11773809635898427,0.0002500686779536553,2.4522729162949337e-06
51,0.11773809635898427,0.0002500686779536553,2.4522729162949337e-06
52,0.11773809635898427,0.0002500686779536553,2.4522729162949337e-06
53,0.11773809635898427,0.0002500686779536553,2.4522729162949337e-06
54,0.11773809635898427,0.0002500686779536553,2.4522729162949337e-06
55,0.11773809635898427,0.0002500686779536553,2.4522729162949337e-06
56,0.11773809635898427,0.0002500686779536553,2.4522729162949337e-06
