,mean,sd,hdi_3%,hdi_97%,mpv
std_deviation[0],526.4989579909682,70.06942136640617,402.5658860475576,659.2233413880753,490.05791877383143
std_deviation[1],3.795150257320896,0.48910883921314,2.908540790314546,4.677973342652085,3.5306365678586653
a1,659149.9011431555,240339.3737692899,223869.69282822195,998167.265502825,920150.1811961913
a3,80620.06507474757,30022.689187444714,21388.530758054865,127398.89547376071,97596.71314224224
