,mean,sd,hdi_3%,hdi_97%,mpv
std_deviation[0],1005.1712812881469,134.12610394213968,776.4602378423182,1259.9517509625468,994.1028034528381
std_deviation[1],2.530259684947594,0.334396984801385,1.950168953451571,3.155237697787044,2.4140846664984847
r1,0.376582430261865,0.018637543286119,0.341821036799765,0.410177196722711,0.3796173286588552
a1,0.096710672575506,0.000292006718938,0.09622758158245,0.097167677685955,0.09643550443204041
m,0.013974778813819,0.000143875342828,0.01373593865725,0.014201546831127,0.01417841406948422
