,mean,sd,hdi_3%,hdi_97%,mpv
std_deviation[0],545.5111395766658,147.554346175219,378.07421011993944,778.9232855366682,778.3315421479219
std_deviation[1],156.9989160858161,242.59070691019403,3.023214559423696,563.7005167134647,4.083781808144405
r1,0.353839266781151,0.281142378554982,0.012113321001718,0.756709807819208,0.7547926156666879
a1,0.072735230838353,0.06616664745765,0.00742853851259,0.180123007515551,0.02119905878665094
a3,0.000362605163808,0.000146423115025,9.2999297466e-05,0.000522504549693,0.0005190784624717588
