,r1,m,a1
0,0.3142320551295855,0.009095023445880502,0.05044063764410233
1,0.3142320551295855,0.009095023445880502,0.05044063764410233
2,0.3030135703690832,0.008889642589191348,0.048637591462734976
3,0.2988237171573877,0.009476376809491194,0.04915828556851268
4,0.2988237171573877,0.009476376809491194,0.04915828556851268
5,0.2988237171573877,0.009476376809491194,0.04915828556851268
6,0.2988237171573877,0.009476376809491194,0.04915828556851268
7,0.3148358936040231,0.009850511422420275,0.05200515010426828
8,0.3148358936040231,0.009850511422420275,0.05200515010426828
9,0.3117252022611486,0.010120054225450925,0.053674499747822874
10,0.3059569080289325,0.01028754321041864,0.05341529707755571
11,0.32291498739875124,0.010096105161969337,0.055382839999569645
12,0.32291498739875124,0.010096105161969337,0.055382839999569645
13,0.32291498739875124,0.010096105161969337,0.055382839999569645
14,0.32291498739875124,0.010096105161969337,0.055382839999569645
15,0.32291498739875124,0.010096105161969337,0.055382839999569645
16,0.32291498739875124,0.010096105161969337,0.055382839999569645
17,0.30890794902686214,0.009934897617883139,0.05133643234782285
18,0.30890794902686214,0.009934897617883139,0.05133643234782285
19,0.30370482468683724,0.009734206950575062,0.05132810006358619
20,0.30874656634204356,0.009557656952610122,0.05124027142025191
21,0.31434194520048253,0.009111651526017998,0.05054394336914514
22,0.3143484528437156,0.00911124260756435,0.05053738865400359
23,0.3092861335529748,0.008930652473039381,0.04939755769758803
24,0.3092861335529748,0.008930652473039381,0.04939755769758803
25,0.3092861335529748,0.008930652473039381,0.04939755769758803
26,0.3092861335529748,0.008930652473039381,0.04939755769758803
27,0.3092861335529748,0.008930652473039381,0.04939755769758803
28,0.3092861335529748,0.008930652473039381,0.04939755769758803
29,0.3143241203599875,0.009000673657585993,0.04971153065712507
30,0.3031956398249927,0.009329043162111859,0.049270739803539826
31,0.3031956398249927,0.009329043162111859,0.049270739803539826
32,0.3031956398249927,0.009329043162111859,0.049270739803539826
33,0.3031956398249927,0.009329043162111859,0.049270739803539826
34,0.3031956398249927,0.009329043162111859,0.049270739803539826
35,0.3051391042380407,0.008954585992557586,0.04892258334464572
36,0.3051391042380407,0.008954585992557586,0.04892258334464572
37,0.3051391042380407,0.008954585992557586,0.04892258334464572
38,0.3051391042380407,0.008954585992557586,0.04892258334464572
39,0.3169871882274981,0.008857425690889788,0.05067449146100447
40,0.31928651408962333,0.009215989403074673,0.05286355985262061
