,a1,a3
0,672858.4881828913,85842.74111126311
1,672858.4881828913,85842.74111126311
2,672858.4881828913,85842.74111126311
3,559610.7338577326,66174.78816301082
4,614932.5781509101,77071.17259160764
5,608748.6510024287,78544.21983104486
6,608748.6510024287,78544.21983104486
7,608748.6510024287,78544.21983104486
8,608748.6510024287,78544.21983104486
9,608748.6510024287,78544.21983104486
10,608748.6510024287,78544.21983104486
11,702099.0659579736,85318.93555113026
12,702099.0659579736,85318.93555113026
13,507067.3104402232,60950.99497471105
14,467847.6725072148,74441.19831738959
15,466642.4909906448,74177.97154262985
16,457486.76718359225,63233.638958802505
17,587164.9457380872,80012.68276870118
18,307066.7980145026,40216.78949271516
19,459252.79492356686,57187.923181104255
20,459252.79492356686,57187.923181104255
21,459252.79492356686,57187.923181104255
22,459252.79492356686,57187.923181104255
23,459252.79492356686,57187.923181104255
24,459252.79492356686,57187.923181104255
25,459252.79492356686,57187.923181104255
26,459252.79492356686,57187.923181104255
27,490598.6515094241,64583.332744090905
28,490598.6515094241,64583.332744090905
29,463658.7769187062,61122.0278037688
30,463658.7769187062,61122.0278037688
31,463658.7769187062,61122.0278037688
32,463658.7769187062,61122.0278037688
33,463658.7769187062,61122.0278037688
34,455003.7156892397,54340.48315251632
35,539706.8039529724,65375.25319023715
36,539706.8039529724,65375.25319023715
37,539706.8039529724,65375.25319023715
38,539706.8039529724,65375.25319023715
39,539706.8039529724,65375.25319023715
40,539706.8039529724,65375.25319023715
41,539706.8039529724,65375.25319023715
42,539706.8039529724,65375.25319023715
43,539706.8039529724,65375.25319023715
44,539706.8039529724,65375.25319023715
45,539706.8039529724,65375.25319023715
46,539706.8039529724,65375.25319023715
47,539706.8039529724,65375.25319023715
48,539706.8039529724,65375.25319023715
49,539706.8039529724,65375.25319023715
50,709964.3892102288,81727.89455410375
51,709964.3892102288,81727.89455410375
52,709964.3892102288,81727.89455410375
53,709964.3892102288,81727.89455410375
54,709964.3892102288,81727.89455410375
55,709964.3892102288,81727.89455410375
56,710098.7386056569,81788.94976251436
57,710098.7386056569,81788.94976251436
58,710098.7386056569,81788.94976251436
59,820253.0690379414,118196.00381498318
60,820253.0690379414,118196.00381498318
61,679888.6594262684,81868.86157186651
62,679888.6594262684,81868.86157186651
63,679888.6594262684,81868.86157186651
64,679888.6594262684,81868.86157186651
65,767725.176185869,103610.31253105089
66,284973.8791376637,36622.963546506784
67,284973.8791376637,36622.963546506784
68,380210.07342024334,45494.43709283864
69,380210.07342024334,45494.43709283864
70,380210.07342024334,45494.43709283864
71,380210.07342024334,45494.43709283864
72,380210.07342024334,45494.43709283864
73,380210.07342024334,45494.43709283864
74,380210.07342024334,45494.43709283864
75,380210.07342024334,45494.43709283864
76,380210.07342024334,45494.43709283864
77,666245.6378267407,79756.53073644266
78,666245.6378267407,79756.53073644266
79,666245.6378267407,79756.53073644266
80,666245.6378267407,79756.53073644266
81,666245.6378267407,79756.53073644266
82,666245.6378267407,79756.53073644266
83,666245.6378267407,79756.53073644266
84,666245.6378267407,79756.53073644266
85,657521.1122410118,79218.29557501695
86,763544.3268128663,93089.89716109862
87,659885.0090300532,78751.09232776517
88,689186.1374839684,90303.25079424575
89,689186.1374839684,90303.25079424575
90,689186.1374839684,90303.25079424575
91,689186.1374839684,90303.25079424575
92,689186.1374839684,90303.25079424575
93,737502.4753219448,79960.09840687497
94,737502.4753219448,79960.09840687497
95,737502.4753219448,79960.09840687497
96,737502.4753219448,79960.09840687497
97,737502.4753219448,79960.09840687497
98,862352.378887924,94668.15641815038
99,862352.378887924,94668.15641815038
100,862352.378887924,94668.15641815038
101,862352.378887924,94668.15641815038
102,862352.378887924,94668.15641815038
103,840495.631547107,100295.72366096517
104,840495.631547107,100295.72366096517
105,830548.2634139148,99763.03450674316
106,830548.2634139148,99763.03450674316
107,830499.598234861,99787.5264066056
108,830499.598234861,99787.5264066056
109,830499.598234861,99787.5264066056
110,786837.5932484417,87346.10653251072
111,786837.5932484417,87346.10653251072
112,786837.5932484417,87346.10653251072
113,786837.5932484417,87346.10653251072
114,786837.5932484417,87346.10653251072
115,489947.669122743,68470.42066078293
116,489947.669122743,68470.42066078293
117,489947.669122743,68470.42066078293
118,489947.669122743,68470.42066078293
119,489947.669122743,68470.42066078293
120,489947.669122743,68470.42066078293
121,489947.669122743,68470.42066078293
122,489947.669122743,68470.42066078293
123,489947.669122743,68470.42066078293
124,317894.8900786072,44848.299598814265
125,317894.8900786072,44848.299598814265
126,284480.39835165517,38515.01255238471
127,529985.4667579848,60363.31199611198
128,522355.19923701964,60131.84918676775
129,522355.19923701964,60131.84918676775
130,331098.85890973354,39231.296844296754
131,331098.85890973354,39231.296844296754
132,331098.85890973354,39231.296844296754
133,331098.85890973354,39231.296844296754
134,248832.80291481668,31363.53970020723
135,547679.948609348,65699.07606278095
136,704124.0144096975,84224.66473023756
137,704124.0144096975,84224.66473023756
138,704124.0144096975,84224.66473023756
139,704124.0144096975,84224.66473023756
140,704124.0144096975,84224.66473023756
141,704124.0144096975,84224.66473023756
142,704124.0144096975,84224.66473023756
143,704124.0144096975,84224.66473023756
144,788427.7046883522,103223.84132371788
145,696687.6464343593,97832.96881023105
146,696687.6464343593,97832.96881023105
147,815316.666432336,107564.34564516769
148,815316.666432336,107564.34564516769
149,815316.666432336,107564.34564516769
150,815316.666432336,107564.34564516769
151,815316.666432336,107564.34564516769
152,815316.666432336,107564.34564516769
153,815316.666432336,107564.34564516769
154,815316.666432336,107564.34564516769
155,815316.666432336,107564.34564516769
156,815316.666432336,107564.34564516769
157,815316.666432336,107564.34564516769
158,815316.666432336,107564.34564516769
159,680009.6591778224,76175.06654605365
160,680009.6591778224,76175.06654605365
161,653254.4157708655,85008.8102752109
162,653254.4157708655,85008.8102752109
163,653254.4157708655,85008.8102752109
164,653254.4157708655,85008.8102752109
165,653254.4157708655,85008.8102752109
166,653254.4157708655,85008.8102752109
167,704613.419597703,77632.44315524628
168,704613.419597703,77632.44315524628
169,704613.419597703,77632.44315524628
170,704613.419597703,77632.44315524628
171,844215.1520245377,107439.47237398173
172,844215.1520245377,107439.47237398173
173,844215.1520245377,107439.47237398173
174,844215.1520245377,107439.47237398173
175,858739.3376466557,105835.15042277353
176,858739.3376466557,105835.15042277353
177,858739.3376466557,105835.15042277353
178,858739.3376466557,105835.15042277353
179,858739.3376466557,105835.15042277353
180,858739.3376466557,105835.15042277353
181,771294.4574377495,101972.27243995498
182,771294.4574377495,101972.27243995498
183,771294.4574377495,101972.27243995498
184,771294.4574377495,101972.27243995498
185,771294.4574377495,101972.27243995498
186,771294.4574377495,101972.27243995498
187,771294.4574377495,101972.27243995498
188,771294.4574377495,101972.27243995498
189,771294.4574377495,101972.27243995498
190,771294.4574377495,101972.27243995498
191,771294.4574377495,101972.27243995498
192,696013.90413051,92071.67567341041
