,r1,a1
1558,4.646238618405171,1.1036264278123538
1559,4.673468677734772,1.1101663526029424
1560,4.679182984055153,1.1113842959238993
1561,4.693174868823948,1.1148739023861551
1562,4.7062019325922355,1.117889133226063
1563,4.701992122264269,1.1167443103362886
1564,4.698461745732329,1.115913862612242
1565,4.698461745732329,1.115913862612242
1566,4.717612026445958,1.1204273488687058
1567,4.713834357335042,1.1194359222821852
1568,4.725009851951586,1.12187284473253
1569,4.708894204959218,1.1181414917122037
1570,4.712758295830916,1.1192269831715669
1571,4.7106320778893735,1.1189793743265646
1572,4.727785618574343,1.1230758967041914
1573,4.723321197870809,1.1221357319499776
1574,4.728290095900779,1.123217152975507
1575,4.71859693185132,1.1210549994276404
1576,4.727364422872855,1.1230865962368746
1577,4.730002256122822,1.1235731767233175
1578,4.712749824208734,1.1196378648246235
1579,4.6884122975441205,1.1138642897353388
1580,4.676154647434727,1.1108271585869178
1581,4.670890733844795,1.109388547615771
1582,4.632975321728526,1.1002153905625105
1583,4.624111233998285,1.0981193106677292
1584,4.615333908410349,1.0960536875627207
1585,4.647053789403393,1.1034218835935234
1586,4.660521869762555,1.106720055179023
1587,4.65619697077216,1.1057725947862136
1588,4.640265356522857,1.1019757598259288
1589,4.608397575008333,1.093811872776526
1590,4.617847481680399,1.0961065874264928
1591,4.6255238687253755,1.097875819927375
1592,4.6255238687253755,1.097875819927375
1593,4.622477124041139,1.0969896321887482
1594,4.6155261835286066,1.0954454585071791
1595,4.599739781681797,1.0916488171227825
1596,4.624624652270231,1.0978220573549842
1597,4.639802165130403,1.1014849785597263
1598,4.637808089803334,1.100992017771597
1599,4.660073860301381,1.1060150801041713
1600,4.660344649227357,1.1059788649925206
1601,4.642846004151543,1.1017734221172073
1602,4.627783959844661,1.098472157073522
1603,4.602083058695225,1.09226641863593
1604,4.63003938960865,1.0990416091927813
1605,4.6342003636151485,1.0997945753267429
1606,4.638418028405391,1.1008057418880346
1607,4.658111764703303,1.105634896864974
1608,4.64344920951961,1.1020116652537226
1609,4.6224671032617275,1.0970132181118755
1610,4.624720589793379,1.097747980865756
1611,4.629077076363746,1.0987272771418657
1612,4.652422782282363,1.1043384789664132
1613,4.664216093612165,1.106869629206236
1614,4.664216093612165,1.106869629206236
1615,4.664216093612165,1.106869629206236
1616,4.669961072064175,1.1083391004982948
1617,4.669961072064175,1.1083391004982948
1618,4.712179313989984,1.1184753076874987
1619,4.725428705883911,1.1215457927439234
1620,4.733545381980443,1.1233566734034126
1621,4.71695527584542,1.1194662445512409
1622,4.707245164195871,1.1170440047904446
1623,4.700784835681719,1.11539626715677
