,r2,r3
0,9.162220096252358e-05,3.743936490194559e-08
1,9.145373857423796e-05,3.739185209528671e-08
2,9.145373857423796e-05,3.739185209528671e-08
3,9.170613291780782e-05,3.742380538292003e-08
4,9.170613291780782e-05,3.742380538292003e-08
5,9.170613291780782e-05,3.742380538292003e-08
6,9.170613291780782e-05,3.742380538292003e-08
7,9.08970600793652e-05,3.725198035782355e-08
8,9.08970600793652e-05,3.725198035782355e-08
9,9.05427135209734e-05,3.703861530306151e-08
10,9.067060766632978e-05,3.700477541959665e-08
11,9.064165150622622e-05,3.7004945416520576e-08
12,9.064165150622622e-05,3.7004945416520576e-08
13,9.105796534823643e-05,3.7212479379588485e-08
14,9.151447935813395e-05,3.741865547788795e-08
15,9.151447935813395e-05,3.741865547788795e-08
16,9.151447935813395e-05,3.741865547788795e-08
17,9.112182990895239e-05,3.7264375905227247e-08
18,9.112182990895239e-05,3.7264375905227247e-08
19,9.068319580935996e-05,3.704306330176886e-08
20,9.132481670035723e-05,3.73465056503564e-08
21,9.132481670035723e-05,3.73465056503564e-08
22,9.087231436243695e-05,3.7197882421010145e-08
23,9.093845756627003e-05,3.717173625832288e-08
24,9.175050763746961e-05,3.742956345821245e-08
25,9.154266858013886e-05,3.743246357244211e-08
26,9.154266858013886e-05,3.743246357244211e-08
27,9.154266858013886e-05,3.743246357244211e-08
28,9.154266858013886e-05,3.743246357244211e-08
29,9.179805652826845e-05,3.745232900891301e-08
30,9.179805652826845e-05,3.745232900891301e-08
31,9.179805652826845e-05,3.745232900891301e-08
32,9.179805652826845e-05,3.745232900891301e-08
33,9.19815521013067e-05,3.7481367903234924e-08
34,9.149781343422176e-05,3.744865609895117e-08
35,9.19025332035036e-05,3.7466636195147594e-08
36,9.19025332035036e-05,3.7466636195147594e-08
37,9.19025332035036e-05,3.7466636195147594e-08
38,9.19025332035036e-05,3.7466636195147594e-08
39,9.186914798930367e-05,3.747434798480518e-08
40,9.186914798930367e-05,3.747434798480518e-08
41,9.17169159383499e-05,3.747429816773709e-08
42,9.17169159383499e-05,3.747429816773709e-08
43,9.181548937706776e-05,3.747580347562506e-08
44,9.16767935990365e-05,3.7479557107313056e-08
45,9.16767935990365e-05,3.7479557107313056e-08
46,9.141727868725892e-05,3.744973167984263e-08
47,9.141727868725892e-05,3.744973167984263e-08
48,9.210983461998378e-05,3.7484211018013014e-08
49,9.187999366417336e-05,3.7473078590941806e-08
50,9.161408606093474e-05,3.747096665732479e-08
51,9.161216806408182e-05,3.746729722891538e-08
52,9.161216806408182e-05,3.746729722891538e-08
53,9.161216806408182e-05,3.746729722891538e-08
54,9.145519851503378e-05,3.746829009088501e-08
55,9.145519851503378e-05,3.746829009088501e-08
56,9.175212871402742e-05,3.748040122986246e-08
57,9.171106190435648e-05,3.7463644441430575e-08
58,9.171106190435648e-05,3.7463644441430575e-08
59,9.171106190435648e-05,3.7463644441430575e-08
60,9.171106190435648e-05,3.7463644441430575e-08
61,9.171106190435648e-05,3.7463644441430575e-08
62,9.171106190435648e-05,3.7463644441430575e-08
63,9.171106190435648e-05,3.7463644441430575e-08
64,9.171106190435648e-05,3.7463644441430575e-08
65,9.160844352646937e-05,3.745062408050855e-08
66,9.160844352646937e-05,3.745062408050855e-08
67,9.160844352646937e-05,3.745062408050855e-08
68,9.162472349948273e-05,3.745727285017515e-08
69,9.162472349948273e-05,3.745727285017515e-08
70,9.181165156304057e-05,3.7480835780501904e-08
71,9.181165156304057e-05,3.7480835780501904e-08
72,9.181165156304057e-05,3.7480835780501904e-08
73,9.181165156304057e-05,3.7480835780501904e-08
74,9.181165156304057e-05,3.7480835780501904e-08
75,9.181165156304057e-05,3.7480835780501904e-08
76,9.181165156304057e-05,3.7480835780501904e-08
77,9.181165156304057e-05,3.7480835780501904e-08
78,9.170080294285559e-05,3.747993269157035e-08
79,9.170080294285559e-05,3.747993269157035e-08
80,9.167472105429672e-05,3.7471807327279576e-08
81,9.167472105429672e-05,3.7471807327279576e-08
82,9.167472105429672e-05,3.7471807327279576e-08
83,9.165258869392772e-05,3.7472857300645595e-08
84,9.16006274847438e-05,3.747725362203381e-08
85,9.16006274847438e-05,3.747725362203381e-08
86,9.16006274847438e-05,3.747725362203381e-08
