,mean,sd,hdi_3%,hdi_97%,mpv
std_deviation[0],403.7625544418874,59.27726122675186,297.226506222362,512.1964167711122,389.1326720479183
std_deviation[1],2.396829499079608,0.317652940561444,1.810891895156367,2.983819097107004,2.322490167980502
m,0.104103300456634,0.010871277247612,0.085112199034708,0.124759254875924,0.10100975555930118
a1,0.000276447268704,2.4388073018e-05,0.000229768992942,0.000319122214943,0.00027706471740747754
a2,2.787245512e-06,2.08573267e-07,2.416857792e-06,3.141064373e-06,2.8421205449660007e-06
