,a1,a3
0,497217.1842297279,67715.6435785007
1,497217.1842297279,67715.6435785007
2,924634.0654635382,111407.20089529218
3,924634.0654635382,111407.20089529218
4,924634.0654635382,111407.20089529218
5,924634.0654635382,111407.20089529218
6,924634.0654635382,111407.20089529218
7,924634.0654635382,111407.20089529218
8,924634.0654635382,111407.20089529218
9,924634.0654635382,111407.20089529218
10,924684.6296889056,111464.09165068115
11,924684.6296889056,111464.09165068115
12,924684.6296889056,111464.09165068115
13,924684.6296889056,111464.09165068115
14,950072.9386448947,114184.75165924076
15,950087.4259749663,114145.06003636385
16,950087.4259749663,114145.06003636385
17,950087.4259749663,114145.06003636385
18,950087.4259749663,114145.06003636385
19,950087.4259749663,114145.06003636385
20,909881.9770387926,115681.50309355221
21,909881.9770387926,115681.50309355221
22,909881.9770387926,115681.50309355221
23,925481.2253106525,116837.82539383115
24,925481.2253106525,116837.82539383115
25,727047.8105567563,78454.67189207328
26,727047.8105567563,78454.67189207328
27,727047.8105567563,78454.67189207328
28,727047.8105567563,78454.67189207328
29,865138.0413938547,107824.19981642878
30,776530.4826669685,95057.0757221377
31,776530.4826669685,95057.0757221377
32,677482.0054036116,80861.74076005646
33,444981.5838256624,67324.91827412693
34,923844.1457489923,106200.54337798772
35,923844.1457489923,106200.54337798772
36,923844.1457489923,106200.54337798772
37,923844.1457489923,106200.54337798772
38,923844.1457489923,106200.54337798772
39,923844.1457489923,106200.54337798772
40,923844.1457489923,106200.54337798772
41,923844.1457489923,106200.54337798772
42,923844.1457489923,106200.54337798772
43,893957.6213343275,108723.80771345008
44,893957.6213343275,108723.80771345008
45,893957.6213343275,108723.80771345008
46,893957.6213343275,108723.80771345008
47,934196.5861446365,118088.57997532643
48,694519.8926868337,76416.60401208806
49,694519.8926868337,76416.60401208806
50,694519.8926868337,76416.60401208806
51,694519.8926868337,76416.60401208806
52,694519.8926868337,76416.60401208806
53,694519.8926868337,76416.60401208806
54,694519.8926868337,76416.60401208806
55,694519.8926868337,76416.60401208806
56,694519.8926868337,76416.60401208806
57,941692.676938787,111362.43778274974
58,888478.8218678619,99419.76242690173
59,888478.8218678619,99419.76242690173
60,888478.8218678619,99419.76242690173
61,888478.8218678619,99419.76242690173
62,888478.8218678619,99419.76242690173
63,888478.8218678619,99419.76242690173
64,658025.3790732987,77312.56763059706
65,456947.50609952124,54253.37873982834
66,456947.50609952124,54253.37873982834
67,456947.50609952124,54253.37873982834
68,456947.50609952124,54253.37873982834
69,457021.7728641625,54287.138330349735
70,405031.87098117074,52058.391003400226
71,586273.4329452014,63270.76282511442
72,586273.4329452014,63270.76282511442
73,586273.4329452014,63270.76282511442
74,586273.4329452014,63270.76282511442
75,586273.4329452014,63270.76282511442
76,586273.4329452014,63270.76282511442
77,634725.9664654125,83287.42295159957
78,842085.9351489845,110178.34249875275
79,842085.9351489845,110178.34249875275
80,842085.9351489845,110178.34249875275
81,842085.9351489845,110178.34249875275
82,842085.9351489845,110178.34249875275
83,842085.9351489845,110178.34249875275
84,650314.753122988,68512.08479150422
85,437519.18804245954,52382.1612066197
86,299245.93065406126,35330.264010539446
87,299245.93065406126,35330.264010539446
88,299245.93065406126,35330.264010539446
89,299245.93065406126,35330.264010539446
