,a1
0,0.005953397000880599
1,0.005953397000880599
2,0.007196299380527824
3,0.007196299380527824
4,0.007196299380527824
5,0.007196299380527824
6,0.007196299380527824
7,0.007196299380527824
8,0.007196299380527824
9,0.007196299380527824
10,0.00702702555357264
11,0.005159742593468705
12,0.005159742593468705
13,0.0054709556497920964
14,0.0054709556497920964
15,0.0054709556497920964
16,0.0052909815294204885
17,0.0052909815294204885
18,0.0052909815294204885
19,0.0052909815294204885
20,0.005156242810018412
21,0.005156242810018412
22,0.005156242810018412
23,0.006942722591788515
24,0.0067068944619944676
25,0.0067068944619944676
26,0.0067068944619944676
27,0.0067068944619944676
28,0.0059769576137341535
29,0.0059769576137341535
30,0.0059769576137341535
31,0.0059769576137341535
32,0.0059769576137341535
33,0.007887241816791275
34,0.005721528192906372
35,0.005721528192906372
36,0.00655331521732476
37,0.006610793743463845
38,0.0069157951972787166
39,0.0069157951972787166
40,0.0069157951972787166
41,0.0069157951972787166
42,0.006238403994830262
43,0.006238403994830262
44,0.006238403994830262
45,0.006238403994830262
46,0.006238403994830262
47,0.005555557968233289
48,0.005712288808608091
49,0.005712288808608091
50,0.005712288808608091
51,0.0056486100595562975
52,0.0056486100595562975
53,0.0056486100595562975
54,0.0056486100595562975
55,0.0056486100595562975
56,0.0056486100595562975
57,0.0056486100595562975
58,0.006672125885366474
59,0.006672125885366474
60,0.005126531998704805
61,0.00483300707847558
62,0.007293327350027171
63,0.007293327350027171
64,0.007293327350027171
65,0.007293327350027171
66,0.005386900243545819
67,0.005386900243545819
68,0.005441075017972569
69,0.005441075017972569
70,0.006203023380547892
71,0.006203023380547892
72,0.006203023380547892
73,0.006203023380547892
74,0.005233136021362701
75,0.005233136021362701
76,0.006472733645218723
77,0.006472733645218723
78,0.006472733645218723
79,0.006472733645218723
80,0.005650434567978672
81,0.005650434567978672
82,0.005650434567978672
83,0.005650434567978672
84,0.005650434567978672
85,0.005650434567978672
86,0.005152733686581181
87,0.005152733686581181
88,0.005152733686581181
89,0.006581312989605257
90,0.006581312989605257
91,0.005830270929292999
92,0.005830270929292999
93,0.005830270929292999
94,0.005830270929292999
95,0.005830270929292999
96,0.005830270929292999
97,0.007256394245697419
98,0.007256394245697419
99,0.007256394245697419
100,0.007256394245697419
101,0.0063955784882800785
102,0.0063955784882800785
103,0.006532294333575581
104,0.006532294333575581
105,0.006532294333575581
106,0.006532294333575581
107,0.006532294333575581
108,0.006532294333575581
109,0.006532294333575581
110,0.006532294333575581
111,0.006532294333575581
112,0.005921244455999469
113,0.005921244455999469
114,0.007400277933696369
115,0.007400277933696369
116,0.007400277933696369
117,0.007400277933696369
118,0.006605589908590268
119,0.006605589908590268
120,0.006605589908590268
121,0.006605589908590268
122,0.00626399252426506
123,0.00626399252426506
124,0.00626399252426506
125,0.00626399252426506
126,0.00626399252426506
127,0.00626399252426506
128,0.00626399252426506
129,0.00626399252426506
130,0.006005834859773087
131,0.006005834859773087
132,0.006005834859773087
133,0.006005834859773087
134,0.006005834859773087
135,0.006005834859773087
136,0.006005834859773087
137,0.006005834859773087
138,0.006005834859773087
139,0.008268655389691515
140,0.008268655389691515
141,0.008268655389691515
142,0.008268655389691515
143,0.008268655389691515
144,0.0063103449110580925
145,0.0063103449110580925
146,0.0063103449110580925
147,0.006545653521625047
148,0.005677971257328945
149,0.007055993823724424
150,0.006244169038890327
151,0.00582535978680655
152,0.004498035176303737
153,0.004498035176303737
154,0.004498035176303737
155,0.006230626158314401
156,0.006230626158314401
157,0.006230626158314401
158,0.006230626158314401
159,0.006230626158314401
160,0.006230626158314401
161,0.006558008079857835
162,0.006558008079857835
163,0.0058884571493344915
164,0.007429013357542274
165,0.007429013357542274
166,0.00654051706990789
167,0.00654051706990789
168,0.00654051706990789
169,0.00654051706990789
170,0.00654051706990789
171,0.00654051706990789
172,0.00654051706990789
173,0.00654051706990789
174,0.00654051706990789
175,0.0060264561314100394
176,0.0060264561314100394
177,0.0060264561314100394
178,0.0060264561314100394
179,0.0060264561314100394
180,0.0060264561314100394
181,0.0060264561314100394
182,0.0060264561314100394
183,0.0060264561314100394
184,0.0060264561314100394
185,0.0060264561314100394
186,0.0060264561314100394
187,0.0060264561314100394
188,0.0060264561314100394
189,0.005304498728904032
190,0.005481527474239168
191,0.005481527474239168
192,0.00570000218636843
193,0.005809020866281627
194,0.005809020866281627
195,0.005809020866281627
196,0.005809020866281627
197,0.005809020866281627
198,0.005809020866281627
199,0.004941897730824487
200,0.006016526729138198
201,0.00648765340720767
202,0.00648765340720767
203,0.00648765340720767
204,0.00648765340720767
205,0.00648765340720767
206,0.00648765340720767
207,0.00648765340720767
208,0.00648765340720767
209,0.00648765340720767
210,0.00648765340720767
211,0.00648765340720767
212,0.00648765340720767
213,0.00648765340720767
214,0.00648765340720767
215,0.00648765340720767
216,0.00648765340720767
217,0.005675068867934581
218,0.005829739808376419
219,0.005829739808376419
220,0.005829739808376419
221,0.005829739808376419
222,0.005829739808376419
223,0.0061782081329536795
224,0.005818133676731827
225,0.005818133676731827
226,0.005818133676731827
227,0.005010579135477259
228,0.005010579135477259
229,0.005010579135477259
230,0.005010579135477259
231,0.005010579135477259
232,0.005010579135477259
