,r1,a1,a3
0,0.12181558798964474,0.024237220401417497,0.00033713308343597215
1,0.12181558798964474,0.024237220401417497,0.00033713308343597215
2,0.12181558798964474,0.024237220401417497,0.00033713308343597215
3,0.12181558798964474,0.024237220401417497,0.00033713308343597215
4,0.12181558798964474,0.024237220401417497,0.00033713308343597215
5,0.12181558798964474,0.024237220401417497,0.00033713308343597215
6,0.12181558798964474,0.024237220401417497,0.00033713308343597215
7,0.12181558798964474,0.024237220401417497,0.00033713308343597215
8,0.12181558798964474,0.024237220401417497,0.00033713308343597215
9,0.12181558798964474,0.024237220401417497,0.00033713308343597215
10,0.12181558798964474,0.024237220401417497,0.00033713308343597215
11,0.11083916938309664,0.023638469734435667,0.0003543747885006261
12,0.11083916938309664,0.023638469734435667,0.0003543747885006261
13,0.11663012663350208,0.022587548551207336,0.0003231962260552855
14,0.14704222061607874,0.026748572782490366,0.00031972805770112364
15,0.12015414053892584,0.025847985424495096,0.00038582542472430793
16,0.12015414053892584,0.025847985424495096,0.00038582542472430793
17,0.12015414053892584,0.025847985424495096,0.00038582542472430793
18,0.1134406473498774,0.024494341913587524,0.00037869072296621743
19,0.1134406473498774,0.024494341913587524,0.00037869072296621743
20,0.1134406473498774,0.024494341913587524,0.00037869072296621743
21,0.11077532359915736,0.022032599199599056,0.00033216303264929615
22,0.11077532359915736,0.022032599199599056,0.00033216303264929615
23,0.12047536359381013,0.022290384405462892,0.0003026372648412821
24,0.12047536359381013,0.022290384405462892,0.0003026372648412821
25,0.12047536359381013,0.022290384405462892,0.0003026372648412821
26,0.12047536359381013,0.022290384405462892,0.0003026372648412821
27,0.12047536359381013,0.022290384405462892,0.0003026372648412821
28,0.12047536359381013,0.022290384405462892,0.0003026372648412821
29,0.12047536359381013,0.022290384405462892,0.0003026372648412821
30,0.1642768327144079,0.02515471482743346,0.00022355278287450268
31,0.1642768327144079,0.02515471482743346,0.00022355278287450268
32,0.23261289291583964,0.025917420584231812,0.00011738788685452536
33,0.23261289291583964,0.025917420584231812,0.00011738788685452536
34,0.23261289291583964,0.025917420584231812,0.00011738788685452536
