,mean,sd,hdi_3%,hdi_97%,mpv
c3,-7.712977209e-06,1.626947e-09,-7.715442029e-06,-7.711959965e-06,-7.712286116072414e-06
c6,5.2307477e-08,1.36495e-10,5.209549e-08,5.2530652e-08,5.2264665899163776e-08
c7,-3.2332574614e-05,1.89744295e-07,-3.2615275015e-05,-3.2048896528e-05,-3.212465447661946e-05
c8,-0.000287830322218,4.807450921e-06,-0.000290386892155,-0.000280305538216,-0.00029023981892152757
x0,2734.4842106147084,15.818832150331557,2715.1193453886035,2756.6449439306402,2719.3794153268414
y0,4.147058785742432,6.558369957e-06,4.14704754357696,4.147073401279229,4.147056509871602
std_deviation[0],290.11479368809654,1.297730019274511,288.60242480376877,290.8024267538108,290.56152049771936
std_deviation[1],3.753448053e-05,1.7897007877e-05,1.8354798367e-05,5.7717013424e-05,1.9680239416422852e-05
