Modelo 	 SSE 	 AIC 	 AICc 	 Delta_AIC 	 Delta_AICc 	 Likelihood 	 Likelihood_c 	 AIC_weights 	 AICc_weights 	 AIC_evid_ratio 	 AICc_evid_ratio 	 BIC 	 Delta_BIC 	 BIC_prob
1	21150167.31046825	2317.7682015075347	2317.8291152131187	157.95048676073657	157.80627226119213	5.029068984440347e-35	5.405095523973166e-35	5.029068984440347e-35	5.405095523973166e-35	1.9884396159486837e+34	1.8501060630005704e+34	2324.3648362406307	151.3538520276402	1.3612209508516057e-33
2	9411152.124784712	2159.817714746798	2160.0228429519266	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	2173.0109842129905	0.0	1.0
