,r1,a_PR,e
4395,8.004254323741636,1.1315023005215357,0.00011856437670123987
4396,8.004254323741636,1.1315023005215357,0.00011856437670123987
4397,8.004254323741636,1.1315023005215357,0.00011856437670123987
4398,8.004254323741636,1.1315023005215357,0.00011856437670123987
4399,8.004254323741636,1.1315023005215357,0.00011856437670123987
4400,8.004254323741636,1.1315023005215357,0.00011856437670123987
4401,8.004254323741636,1.1315023005215357,0.00011856437670123987
4402,8.004254323741636,1.1315023005215357,0.00011856437670123987
4403,8.004254323741636,1.1315023005215357,0.00011856437670123987
4404,8.004254323741636,1.1315023005215357,0.00011856437670123987
4405,6.413846872085905,0.9043962469295899,9.26707136420355e-05
4406,6.789191111231153,0.9588286610184672,0.00010185305456377067
4407,6.570874282647956,0.9286784465314105,9.83344996799776e-05
4408,7.25755702090965,1.0245317041087458,0.00011563065119133447
4409,7.25755702090965,1.0245317041087458,0.00011563065119133447
4410,7.974222883990164,1.1258915950049566,0.00012631934612726732
4411,7.974222883990164,1.1258915950049566,0.00012631934612726732
4412,8.006407467440205,1.1322570047889027,0.00010969362040729907
4413,7.453299861631767,1.053935903645056,0.00010168774532627619
4414,7.453299861631767,1.053935903645056,0.00010168774532627619
4415,6.765264647809561,0.9548246387324998,9.739909804656801e-05
4416,6.765264647809561,0.9548246387324998,9.739909804656801e-05
4417,6.765264647809561,0.9548246387324998,9.739909804656801e-05
4418,6.725562190864718,0.9491608111727364,9.28676647923441e-05
4419,6.725562190864718,0.9491608111727364,9.28676647923441e-05
4420,6.725562190864718,0.9491608111727364,9.28676647923441e-05
4421,6.725562190864718,0.9491608111727364,9.28676647923441e-05
4422,7.6451431397508705,1.0799156643686503,8.930582114341123e-05
4423,7.359595764713793,1.0390822649048463,9.917910507667927e-05
4424,7.815580579234698,1.1046750058488886,9.943369364199117e-05
4425,7.815580579234698,1.1046750058488886,9.943369364199117e-05
4426,7.815580579234698,1.1046750058488886,9.943369364199117e-05
4427,7.815580579234698,1.1046750058488886,9.943369364199117e-05
4428,7.815580579234698,1.1046750058488886,9.943369364199117e-05
4429,6.006910106408481,0.8495067606068498,7.888292980070672e-05
4430,6.006910106408481,0.8495067606068498,7.888292980070672e-05
4431,6.006910106408481,0.8495067606068498,7.888292980070672e-05
4432,6.006910106408481,0.8495067606068498,7.888292980070672e-05
4433,6.006910106408481,0.8495067606068498,7.888292980070672e-05
4434,6.006910106408481,0.8495067606068498,7.888292980070672e-05
4435,6.328530408664381,0.8930043982297061,7.680031363357894e-05
4436,6.328530408664381,0.8930043982297061,7.680031363357894e-05
4437,6.328530408664381,0.8930043982297061,7.680031363357894e-05
4438,6.328530408664381,0.8930043982297061,7.680031363357894e-05
4439,6.328530408664381,0.8930043982297061,7.680031363357894e-05
4440,6.836813724051135,0.9674821352078279,8.430702371856565e-05
4441,6.722418939088181,0.9489080451565371,7.545590011626966e-05
4442,6.722418939088181,0.9489080451565371,7.545590011626966e-05
4443,6.722418939088181,0.9489080451565371,7.545590011626966e-05
4444,7.089118779865104,1.0005655123135588,8.755158072857653e-05
4445,7.761935171648087,1.0954293675331241,0.00010270911635956837
4446,7.761935171648087,1.0954293675331241,0.00010270911635956837
4447,7.833601833636032,1.1072103590550606,0.00012185135240024604
4448,7.833601833636032,1.1072103590550606,0.00012185135240024604
4449,7.833601833636032,1.1072103590550606,0.00012185135240024604
4450,7.940937612720806,1.123067582493001,0.00011447779279824473
4451,7.940937612720806,1.123067582493001,0.00011447779279824473
4452,7.940937612720806,1.123067582493001,0.00011447779279824473
4453,7.940937612720806,1.123067582493001,0.00011447779279824473
4454,7.940937612720806,1.123067582493001,0.00011447779279824473
4455,7.940937612720806,1.123067582493001,0.00011447779279824473
4456,7.940937612720806,1.123067582493001,0.00011447779279824473
4457,7.940937612720806,1.123067582493001,0.00011447779279824473
4458,7.940937612720806,1.123067582493001,0.00011447779279824473
4459,7.940937612720806,1.123067582493001,0.00011447779279824473
4460,7.940937612720806,1.123067582493001,0.00011447779279824473
4461,7.940937612720806,1.123067582493001,0.00011447779279824473
4462,7.940937612720806,1.123067582493001,0.00011447779279824473
4463,7.940937612720806,1.123067582493001,0.00011447779279824473
4464,7.940937612720806,1.123067582493001,0.00011447779279824473
4465,7.940937612720806,1.123067582493001,0.00011447779279824473
4466,7.940937612720806,1.123067582493001,0.00011447779279824473
4467,7.940937612720806,1.123067582493001,0.00011447779279824473
4468,8.0619376215765,1.1400736425917468,0.00011319119751752266
