Modelo 	 SSE 	 AIC 	 AICc 	 Delta_AIC 	 Delta_AICc 	 Likelihood 	 Likelihood_c 	 AIC_weights 	 AICc_weights 	 AIC_evid_ratio 	 AICc_evid_ratio 	 BIC 	 Delta_BIC 	 BIC_prob
1	13252721.160174739	2224.2792186684087	2224.3401323739927	168.9475130742635	168.88597780025566	2.058323679365111e-37	2.122637757794723e-37	2.0583061966971206e-37	2.122620459368517e-37	4.858322381582131e+36	4.711119437727012e+36	2230.8758534015046	165.64919570771553	1.0708619253709453e-36
2	6272855.519740253	2078.684973636422	2078.8901018415504	23.353268042276795	23.43594726781339	8.489894185566658e-06	8.146080766616639e-06	8.489822075430237e-06	8.14601438017058e-06	117787.09818316245	122758.4194964146	2091.8782431026143	26.651585408825213	1.6318530695176482e-06
3	5637638.863063801	2055.331705594145	2055.454154573737	0.0	0.0	1.0	1.0	0.9999915063562813	0.9999918505048059	1.0	1.0	2065.226657693789	0.0	0.9999983680057378
4	6707934.673230676	2094.0968593387847	2094.4061376893	38.76515374463952	38.95198311556305	3.82167559785437e-09	3.480842211014452e-09	3.821643137903433e-09	3.480813843907582e-09	261665328.30819997	287286794.2234478	2110.588446171525	45.3617884777359	1.4119264649631472e-10
