,mean,sd,hdi_3%,hdi_97%,mpv
c3,-6.163709454e-06,1.191304018e-06,-7.424884844e-06,-4.965704505e-06,-4.974107900337806e-06
c4,-0.000455042252048,9.0989006181e-05,-0.000546022474821,-0.000364039659665,-0.0005460224748211692
c6,3.6939881e-08,1.89538e-10,3.6781344e-08,3.7290294e-08,3.681418594089975e-08
c7,-2.0706077536e-05,1.01458977e-07,-2.0913324626e-05,-2.0592107557e-05,-2.0656412053494603e-05
c8,-0.001635389310653,0.000139374683661,-0.001865689059773,-0.001509594193623,-0.001509594193622986
x0,2745.3445463554212,48.7632462533239,2687.4071369355515,2810.154895246799,2697.4458462999605
y0,4.147059215041937,9.816929155e-06,4.147039821324306,4.147081876340086,4.147060541728963
std_deviation[0],284.45034230704977,0.159559182415538,284.425427884884,284.4679775213356,284.4645578350477
std_deviation[1],5.0439955254e-05,3.5782402599e-05,1.3635598201e-05,9.0814256984e-05,1.4734513757274192e-05
