,mean,sd,hdi_3%,hdi_97%,mpv
c3,5.5705610409e-05,1.113182628e-05,4.4562687955e-05,6.6837613469e-05,6.683761496081399e-05
c4,-0.039656330296709,0.006049058073132,-0.045704629703181,-0.033435990096405,-0.04570462970318063
x0,2766.6014729463286,46.40969120822876,2714.033774426224,2815.666049917349,2813.2142465473544
y0,4.147058872883654,7.913742213e-06,4.147043530704678,4.147074347715509,4.147057516356763
std_deviation[0],274.4379223499351,12.286995772175398,251.62669581921585,284.46797123518377,284.4538663493083
std_deviation[1],5.2826655298e-05,1.7777341824e-05,3.3338027171e-05,7.3594251983e-05,3.513402473411569e-05
