Location,Time,Date,Location_code,Patch_ID,Uroleucon,Cycloneda_sanguinea
none,none,dd-mmm-yyyy,none,none,count,count
nominal,series,datetime,code,nominal,data,data
dike,1,1-Jun-14,1,1,1127,5
dike,4,4-Jun-14,1,1,1065,3
dike,7,7-Jun-14,1,1,1008,3
dike,10,10-Jun-14,1,1,1978,4
dike,13,13-Jun-14,1,1,3028,3
dike,16,16-Jun-14,1,1,2426,4
dike,19,19-Jun-14,1,1,1065,1
dike,22,22-Jun-14,1,1,1645,4
dike,25,25-Jun-14,1,1,1656,1
dike,28,28-Jun-14,1,1,1675,5
dike,31,1-Jul-14,1,1,616,1
dike,34,4-Jul-14,1,1,332,0
dike,37,7-Jul-14,1,1,421,3
dike,40,10-Jul-14,1,1,399,1
dike,43,13-Jul-14,1,1,358,0
dike,46,16-Jul-14,1,1,404,0
dike,49,19-Jul-14,1,1,433,0
dike,52,22-Jul-14,1,1,478,1
dike,55,25-Jul-14,1,1,420,0
dike,58,28-Jul-14,1,1,510,0
airport,3,3-Jun-14,2,1,36,0
airport,6,6-Jun-14,2,1,15,0
airport,9,9-Jun-14,2,1,10,0
airport,12,12-Jun-14,2,1,13,0
airport,15,15-Jun-14,2,1,23,0
airport,18,18-Jun-14,2,1,70,0
airport,21,21-Jun-14,2,1,36,0
airport,24,24-Jun-14,2,1,16,0
airport,27,27-Jun-14,2,1,17,0
airport,30,30-Jun-14,2,1,18,0
airport,33,3-Jul-14,2,1,15,0
airport,36,6-Jul-14,2,1,4,0
airport,39,9-Jul-14,2,1,12,0
airport,42,12-Jul-14,2,1,7,0
airport,45,15-Jul-14,2,1,19,0
airport,48,18-Jul-14,2,1,70,0
airport,51,21-Jul-14,2,1,42,0
airport,54,24-Jul-14,2,1,90,0
airport,57,27-Jul-14,2,1,27,1
lighthouse,5,5-Jun-14,3,1,157,1
lighthouse,8,8-Jun-14,3,1,482,2
lighthouse,11,11-Jun-14,3,1,478,2
lighthouse,14,14-Jun-14,3,1,369,2
lighthouse,17,17-Jun-14,3,1,423,0
lighthouse,20,20-Jun-14,3,1,235,1
lighthouse,23,23-Jun-14,3,1,301,0
lighthouse,26,26-Jun-14,3,1,198,0
lighthouse,29,29-Jun-14,3,1,84,0
lighthouse,32,2-Jul-14,3,1,118,0
lighthouse,35,5-Jul-14,3,1,135,0
lighthouse,38,8-Jul-14,3,1,230,0
lighthouse,41,11-Jul-14,3,1,245,0
lighthouse,44,14-Jul-14,3,1,140,0
lighthouse,47,17-Jul-14,3,1,184,0
lighthouse,50,20-Jul-14,3,1,354,0
lighthouse,53,23-Jul-14,3,1,210,0
lighthouse,56,26-Jul-14,3,1,73,0
lighthouse,59,29-Jul-14,3,1,97,0
