Location,Time,Date,Location_code,Patch_ID,Activity-density
none,none,dd-mmm-yyyy,none,none,count
nominal,series,datetime,code,nominal,data
N/A,1,N/A,N/A,N/A,81.8665433098183
N/A,3,N/A,N/A,N/A,98.5544119347749
N/A,6,N/A,N/A,N/A,137.180525037585
N/A,8,N/A,N/A,N/A,312.91777495085
N/A,13,N/A,N/A,N/A,836.336301607494
