Location,Time,Date,Location_code,Patch_ID,Activity-density
none,none,dd-mmm-yyyy,none,none,count
nominal,series,datetime,code,nominal,data
N/A,4,N/A,N/A,N/A,14.2528735632184
N/A,6,N/A,N/A,N/A,0.229885057471261
N/A,8,N/A,N/A,N/A,1.89655172413793
N/A,10,N/A,N/A,N/A,0.804597701149419
