Location,Time,Date,Location_code,Patch_ID,Activity-density
none,none,dd-mmm-yyyy,none,none,count
nominal,series,datetime,code,nominal,data
N/A,4,N/A,N/A,N/A,9.06302170283811
N/A,6,N/A,N/A,N/A,6.00479966611022
N/A,8,N/A,N/A,N/A,11.4159015025042
N/A,10,N/A,N/A,N/A,22.4739148580969
