Location,Time,Date,Location_code,Patch_ID,Activity-density
none,none,dd-mmm-yyyy,none,none,count
nominal,series,datetime,code,nominal,data
N/A,5,N/A,N/A,N/A,1.72848397552716E-05
N/A,6,N/A,N/A,N/A,0.097071660064818
N/A,7,N/A,N/A,N/A,0.47252142599928
N/A,8,N/A,N/A,N/A,0.61170471732085
